医院名称,医生总数,高评分医生(≥4.5),平均评分
复旦大学附属儿科医院,61,8,3.94
复旦大学附属妇产科医院,56,8,4.01
复旦大学附属华山医院,168,10,3.88
复旦大学附属中山医院,177,10,3.83
上海交通大学医学院附属第九人民医院,150,13,3.98
上海交通大学医学院附属仁济医院,150,15,3.86
上海交通大学医学院附属瑞金医院,224,9,3.78
上海中医药大学附属龙华医院,142,3,3.46
上海中医药大学附属岳阳医院,137,0,3.44
北京朝阳医院,221,7,3.71
北京大学第三医院,205,15,3.81
北京大学深圳医院,127,2,3.53
北京儿童医院,163,17,3.87
北京天坛医院,150,6,3.72
北京协和医院,325,11,3.83
广东省妇幼保健院,73,1,3.6
广东省人民医院,184,5,3.72
广东省中医院,141,2,3.54
广州市第一人民医院,154,2,3.5
广州医科大学附属第一医院,123,4,3.64
广州医科大学附属妇女儿童医疗中心,148,8,3.69
广州中医药大学第一附属医院,160,1,3.54
暨南大学附属第一医院,103,1,3.62
南方医科大学南方医院,196,5,3.7
南方医科大学珠江医院,111,1,3.62
中山大学附属第三医院,7,1,3.71
中山大学附属第五医院,48,0,3.56
中山大学附属第一医院,11,0,3.56
中山大学附属口腔医院,29,0,3.86
中山大学中山眼科中心,39,1,3.75
中山大学肿瘤防治中心,134,7,3.89
深圳市妇幼保健院,51,0,3.49
深圳市人民医院,196,0,3.52
香港大学深圳医院,26,1,3.58
四川大学华西医院,298,3,3.8
四川省人民医院,227,1,3.54
浙江大学医学院附属妇产科医院,54,1,3.74
浙江大学医学院附属邵逸夫医院,152,1,3.61
重庆市人民医院,53,1,3.52
重庆医科大学附属第二医院,175,2,3.71
重庆医科大学附属第一医院,10,0,3.38
重庆医科大学附属儿童医院,64,4,3.76
珠海市人民医院,48,0,3.42
西安交通大学第一附属医院,183,0,3.7
江苏省人民医院,331,10,3.76
南京鼓楼医院,182,5,3.68
华中科技大学同济医学院附属同济医院,253,3,3.77
华中科技大学同济医学院附属协和医院,258,9,3.8
